Aikaleima;Yö (kWh);Päivä (kWh)
01-01-2023 00:00;28.00;0.00
01-01-2023 01:00;27.00;0.00
01-01-2023 02:00;30.00;0.00
01-01-2023 03:00;28.00;0.00
01-01-2023 04:00;29.00;0.00
01-01-2023 05:00;30.00;0.00
01-01-2023 06:00;38.00;0.00
01-01-2023 07:00;0.00;37.00
01-01-2023 08:00;0.00;35.00
01-01-2023 09:00;0.00;30.00
01-01-2023 10:00;0.00;27.00
01-01-2023 11:00;0.00;28.00
01-01-2023 12:00;0.00;28.00
01-01-2023 13:00;0.00;38.00
01-01-2023 14:00;0.00;38.00
01-01-2023 15:00;0.00;41.00
01-01-2023 16:00;0.00;45.00
01-01-2023 17:00;0.00;44.00
01-01-2023 18:00;0.00;42.00
01-01-2023 19:00;0.00;48.00
01-01-2023 20:00;0.00;49.00
01-01-2023 21:00;0.00;45.00
01-01-2023 22:00;35.00;0.00
01-01-2023 23:00;36.00;0.00
02-01-2023 00:00;26.00;0.00
02-01-2023 01:00;25.00;0.00
02-01-2023 02:00;25.00;0.00
02-01-2023 03:00;24.00;0.00
02-01-2023 04:00;28.00;0.00
02-01-2023 05:00;37.00;0.00
02-01-2023 06:00;46.00;0.00
02-01-2023 07:00;0.00;51.00
02-01-2023 08:00;0.00;65.00
02-01-2023 09:00;0.00;57.00
02-01-2023 10:00;0.00;63.00
02-01-2023 11:00;0.00;62.00
02-01-2023 12:00;0.00;65.00
02-01-2023 13:00;0.00;67.00
02-01-2023 14:00;0.00;56.00
02-01-2023 15:00;0.00;58.00
02-01-2023 16:00;0.00;57.00
02-01-2023 17:00;0.00;42.00
02-01-2023 18:00;0.00;51.00
02-01-2023 19:00;0.00;42.00
02-01-2023 20:00;0.00;37.00
02-01-2023 21:00;0.00;43.00
02-01-2023 22:00;43.00;0.00
02-01-2023 23:00;33.00;0.00
03-01-2023 00:00;24.00;0.00
03-01-2023 01:00;25.00;0.00
03-01-2023 02:00;24.00;0.00
03-01-2023 03:00;24.00;0.00
03-01-2023 04:00;27.00;0.00
03-01-2023 05:00;38.00;0.00
03-01-2023 06:00;50.00;0.00
03-01-2023 07:00;0.00;54.00
03-01-2023 08:00;0.00;64.00
03-01-2023 09:00;0.00;62.00
03-01-2023 10:00;0.00;69.00
03-01-2023 11:00;0.00;70.00
03-01-2023 12:00;0.00;68.00
03-01-2023 13:00;0.00;76.00
03-01-2023 14:00;0.00;58.00
03-01-2023 15:00;0.00;63.00
03-01-2023 16:00;0.00;58.00
03-01-2023 17:00;0.00;48.00
03-01-2023 18:00;0.00;57.00
03-01-2023 19:00;0.00;53.00
03-01-2023 20:00;0.00;48.00
03-01-2023 21:00;0.00;49.00
03-01-2023 22:00;43.00;0.00
03-01-2023 23:00;35.00;0.00
04-01-2023 00:00;28.00;0.00
04-01-2023 01:00;25.00;0.00
04-01-2023 02:00;24.00;0.00
04-01-2023 03:00;25.00;0.00
04-01-2023 04:00;28.00;0.00
04-01-2023 05:00;48.00;0.00
04-01-2023 06:00;47.00;0.00
04-01-2023 07:00;0.00;55.00
04-01-2023 08:00;0.00;65.00
04-01-2023 09:00;0.00;62.00
04-01-2023 10:00;0.00;69.00
04-01-2023 11:00;0.00;66.00
04-01-2023 12:00;0.00;63.00
04-01-2023 13:00;0.00;63.00
04-01-2023 14:00;0.00;61.00
04-01-2023 15:00;0.00;65.00
04-01-2023 16:00;0.00;64.00
04-01-2023 17:00;0.00;50.00
04-01-2023 18:00;0.00;43.00
04-01-2023 19:00;0.00;45.00
04-01-2023 20:00;0.00;51.00
04-01-2023 21:00;0.00;49.00
04-01-2023 22:00;44.00;0.00
04-01-2023 23:00;35.00;0.00
05-01-2023 00:00;27.00;0.00
05-01-2023 01:00;25.00;0.00
05-01-2023 02:00;25.00;0.00
05-01-2023 03:00;25.00;0.00
05-01-2023 04:00;28.00;0.00
05-01-2023 05:00;44.00;0.00
05-01-2023 06:00;51.00;0.00
05-01-2023 07:00;0.00;54.00
05-01-2023 08:00;0.00;60.00
05-01-2023 09:00;0.00;54.00
05-01-2023 10:00;0.00;63.00
05-01-2023 11:00;0.00;60.00
05-01-2023 12:00;0.00;64.00
05-01-2023 13:00;0.00;73.00
05-01-2023 14:00;0.00;72.00
05-01-2023 15:00;0.00;71.00
05-01-2023 16:00;0.00;68.00
05-01-2023 17:00;0.00;57.00
05-01-2023 18:00;0.00;51.00
05-01-2023 19:00;0.00;49.00
05-01-2023 20:00;0.00;47.00
05-01-2023 21:00;0.00;50.00
05-01-2023 22:00;47.00;0.00
05-01-2023 23:00;44.00;0.00
06-01-2023 00:00;33.00;0.00
06-01-2023 01:00;31.00;0.00
06-01-2023 02:00;32.00;0.00
06-01-2023 03:00;32.00;0.00
06-01-2023 04:00;34.00;0.00
06-01-2023 05:00;44.00;0.00
06-01-2023 06:00;44.00;0.00
06-01-2023 07:00;0.00;44.00
06-01-2023 08:00;0.00;48.00
06-01-2023 09:00;0.00;40.00
06-01-2023 10:00;0.00;43.00
06-01-2023 11:00;0.00;43.00
06-01-2023 12:00;0.00;40.00
06-01-2023 13:00;0.00;42.00
06-01-2023 14:00;0.00;39.00
06-01-2023 15:00;0.00;44.00
06-01-2023 16:00;0.00;60.00
06-01-2023 17:00;0.00;58.00
06-01-2023 18:00;0.00;52.00
06-01-2023 19:00;0.00;57.00
06-01-2023 20:00;0.00;37.00
06-01-2023 21:00;0.00;35.00
06-01-2023 22:00;33.00;0.00
06-01-2023 23:00;33.00;0.00
07-01-2023 00:00;24.00;0.00
07-01-2023 01:00;24.00;0.00
07-01-2023 02:00;24.00;0.00
07-01-2023 03:00;24.00;0.00
07-01-2023 04:00;26.00;0.00
07-01-2023 05:00;26.00;0.00
07-01-2023 06:00;37.00;0.00
07-01-2023 07:00;0.00;34.00
07-01-2023 08:00;0.00;42.00
07-01-2023 09:00;0.00;36.00
07-01-2023 10:00;0.00;39.00
07-01-2023 11:00;0.00;37.00
07-01-2023 12:00;0.00;38.00
07-01-2023 13:00;0.00;33.00
07-01-2023 14:00;0.00;36.00
07-01-2023 15:00;0.00;40.00
07-01-2023 16:00;0.00;47.00
07-01-2023 17:00;0.00;46.00
07-01-2023 18:00;0.00;45.00
07-01-2023 19:00;0.00;35.00
07-01-2023 20:00;0.00;33.00
07-01-2023 21:00;0.00;35.00
07-01-2023 22:00;32.00;0.00
07-01-2023 23:00;32.00;0.00
08-01-2023 00:00;24.00;0.00
08-01-2023 01:00;24.00;0.00
08-01-2023 02:00;24.00;0.00
08-01-2023 03:00;23.00;0.00
08-01-2023 04:00;26.00;0.00
08-01-2023 05:00;26.00;0.00
08-01-2023 06:00;34.00;0.00
08-01-2023 07:00;0.00;33.00
08-01-2023 08:00;0.00;36.00
08-01-2023 09:00;0.00;29.00
08-01-2023 10:00;0.00;36.00
08-01-2023 11:00;0.00;38.00
08-01-2023 12:00;0.00;36.00
08-01-2023 13:00;0.00;40.00
08-01-2023 14:00;0.00;39.00
08-01-2023 15:00;0.00;41.00
08-01-2023 16:00;0.00;46.00
08-01-2023 17:00;0.00;50.00
