Viikko;Klo 0-8;Klo 8-16;Klo 16-24;Viikkosumma
Vko 0;0.2;0.3;0.3;0.9
Vko 1;1.8;3.0;2.6;7.4
Vko 2;2.5;5.8;3.2;11.6
Vko 3;2.8;6.6;3.3;12.6
Vko 4;2.9;6.6;3.4;12.8
Vko 5;2.7;6.9;3.3;12.9
Vko 6;2.7;6.6;3.3;12.7
Vko 7;2.7;6.5;3.3;12.6
Vko 8;2.6;6.3;3.1;12.0
Vko 9;2.2;3.1;2.9;8.3
Vko 10;2.5;6.5;3.2;12.2
Vko 11;2.8;7.1;3.4;13.3
Vko 12;2.9;7.0;3.5;13.3
Vko 13;2.6;6.6;3.1;12.4
Vko 14;2.7;6.0;3.1;11.8
Vko 15;2.5;6.0;3.0;11.5
Vko 16;2.8;7.0;3.2;13.0
Vko 17;2.7;6.9;3.1;12.7
Vko 18;2.2;3.8;2.8;8.9
Vko 19;2.0;4.6;2.7;9.3
Vko 20;1.8;4.2;2.4;8.4
Vko 21;1.7;4.4;2.4;8.5
Vko 22;1.5;4.0;1.9;7.4
Vko 23;1.7;4.8;1.9;8.3
Vko 24;1.7;4.0;2.3;7.9
Vko 25;1.6;3.6;2.1;7.3
Vko 26;1.8;4.1;2.2;8.1
Vko 27;1.6;2.6;1.8;6.0
Vko 28;1.4;2.3;1.8;5.5
Vko 29;1.5;2.6;1.6;5.7
Vko 30;1.5;2.6;1.7;5.8
Vko 31;1.6;3.5;2.0;7.0
Vko 32;1.6;4.1;2.3;8.0
Vko 33;2.1;5.5;2.7;10.3
Vko 34;2.6;6.3;2.6;11.4
Vko 35;2.9;7.8;3.0;13.8
Vko 36;3.0;7.4;3.1;13.4
Vko 37;3.0;7.8;3.2;14.0
Vko 38;2.7;6.9;3.0;12.6
Vko 39;2.7;7.1;3.2;12.9
Vko 40;3.1;7.6;3.2;13.9
Vko 41;2.8;7.0;3.1;12.9
Vko 42;2.8;7.4;3.2;13.4
Vko 43;2.1;3.2;2.8;8.1
Vko 44;2.6;7.3;3.3;13.3
Vko 45;2.7;7.1;3.2;13.1
Vko 46;2.5;6.4;3.1;12.0
Vko 47;2.5;6.5;3.1;12.1
Vko 48;2.6;7.1;3.2;13.0
Vko 49;2.4;5.7;3.0;11.1
Vko 50;2.3;6.1;3.0;11.3
Vko 51;1.8;3.5;2.6;7.8
Vko 52;1.6;2.2;2.2;5.9
Vko 53;0.0;0.0;0.0;0.0
Yhteensä;120.8;285.7;146.2;552.7
