Viikko;Klo 0-8;Klo 8-16;Klo 16-24;Viikkosumma
Vko 0;1.9;0.5;0.5;2.8
Vko 1;0.5;0.0;0.0;0.5
Vko 2;0.0;0.0;0.0;0.0
Vko 3;0.0;0.0;0.0;0.0
Vko 4;0.0;0.0;0.0;0.0
Vko 5;0.0;0.0;0.0;0.0
Vko 6;0.0;0.0;0.0;0.0
Vko 7;0.0;0.0;0.0;0.0
Vko 8;0.0;0.0;0.0;0.0
Vko 9;0.0;0.0;0.0;0.0
Vko 10;0.0;0.0;0.0;0.0
Vko 11;0.0;0.0;0.0;0.0
Vko 12;0.0;0.0;0.0;0.0
Vko 13;0.0;0.0;0.0;0.0
Vko 14;0.0;0.9;0.0;0.9
Vko 15;0.0;1.0;0.0;1.0
Vko 16;0.0;0.0;0.0;0.0
Vko 17;0.0;0.0;0.0;0.0
Vko 18;0.0;0.0;0.0;0.0
Vko 19;0.0;0.0;0.0;0.0
Vko 20;0.0;0.0;0.0;0.0
Vko 21;0.0;0.0;0.0;0.0
Vko 22;0.0;0.0;0.0;0.0
Vko 23;0.0;0.0;0.0;0.0
Vko 24;0.0;0.0;0.0;0.0
Vko 25;0.0;0.0;0.0;0.0
Vko 26;0.0;0.0;0.0;0.0
Vko 27;0.0;0.0;0.0;0.0
Vko 28;0.0;0.0;0.0;0.0
Vko 29;0.0;0.0;0.0;0.0
Vko 30;0.0;0.0;0.0;0.0
Vko 31;0.0;0.0;0.0;0.0
Vko 32;0.0;3.5;0.8;4.4
Vko 33;0.0;0.0;0.0;0.0
Vko 34;0.0;0.0;0.0;0.0
Vko 35;0.0;0.0;0.0;0.0
Vko 36;0.0;0.0;0.0;0.0
Vko 37;0.0;0.0;0.0;0.0
Vko 38;0.0;0.0;0.0;0.0
Vko 39;0.0;0.0;0.0;0.0
Vko 40;0.0;0.0;0.0;0.0
Vko 41;0.0;0.0;0.0;0.0
Vko 42;0.0;0.0;0.0;0.0
Vko 43;0.0;0.0;0.0;0.0
Vko 44;0.0;0.0;0.0;0.0
Vko 45;0.0;0.0;0.0;0.0
Vko 46;0.0;0.0;0.0;0.0
Vko 47;0.0;0.0;0.0;0.0
Vko 48;0.0;0.0;0.0;0.0
Vko 49;0.0;0.0;0.0;0.0
Vko 50;0.0;0.0;0.0;0.0
Vko 51;0.0;0.0;0.0;0.0
Vko 52;0.0;0.0;0.0;0.0
Vko 53;0.0;0.0;0.0;0.0
Yhteensä;2.3;5.9;1.3;9.6
