Päivittäiset kulutukset (kWh) ja lämpötila:
Pvm;Yö;Päivä;Yhteensä;Lämpötila
01.01.2023;281.0;575.0;856.0;0.2
02.01.2023;287.0;816.0;1103.0;-4.8
03.01.2023;290.0;897.0;1187.0;-4.9
04.01.2023;304.0;871.0;1175.0;-8.7
05.01.2023;316.0;893.0;1209.0;-11.1
06.01.2023;316.0;682.0;998.0;-7.8
07.01.2023;249.0;576.0;825.0;-10.4
08.01.2023;253.0;625.0;878.0;-12.4
09.01.2023;313.0;1345.0;1658.0;-9.7
10.01.2023;377.0;1410.0;1787.0;-7.5
11.01.2023;450.0;1662.0;2112.0;0.1
12.01.2023;402.0;1606.0;2008.0;-1.4
13.01.2023;407.0;1461.0;1868.0;-0.2
14.01.2023;307.0;797.0;1104.0;1.5
15.01.2023;329.0;728.0;1057.0;1.2
16.01.2023;390.0;1572.0;1962.0;1.3
17.01.2023;424.0;1677.0;2101.0;0.4
18.01.2023;423.0;1782.0;2205.0;0.1
19.01.2023;439.0;1869.0;2308.0;0.0
20.01.2023;390.0;1680.0;2070.0;-1.4
21.01.2023;324.0;720.0;1044.0;-6.1
22.01.2023;303.0;656.0;959.0;-6.1
23.01.2023;368.0;1686.0;2054.0;-6.5
24.01.2023;406.0;1740.0;2146.0;-1.6
25.01.2023;417.0;1810.0;2227.0;0.9
26.01.2023;412.0;1813.0;2225.0;1.2
27.01.2023;425.0;1478.0;1903.0;-4.4
28.01.2023;343.0;762.0;1105.0;-3.2
29.01.2023;428.0;750.0;1178.0;-1.5
30.01.2023;406.0;1636.0;2042.0;0.4
31.01.2023;385.0;1707.0;2092.0;-2.1
01.02.2023;396.0;1816.0;2212.0;-3.9
02.02.2023;391.0;1705.0;2096.0;-4.3
03.02.2023;363.0;1614.0;1977.0;-6.5
04.02.2023;402.0;1170.0;1572.0;-6.9
05.02.2023;335.0;609.0;944.0;-8.2
06.02.2023;397.0;1660.0;2057.0;-2.7
07.02.2023;380.0;1696.0;2076.0;-3.3
08.02.2023;399.0;1893.0;2292.0;0.6
09.02.2023;445.0;1797.0;2242.0;0.7
10.02.2023;403.0;1631.0;2034.0;-1.0
11.02.2023;318.0;677.0;995.0;-4.4
12.02.2023;328.0;628.0;956.0;-4.7
13.02.2023;400.0;1707.0;2107.0;1.4
14.02.2023;369.0;1618.0;1987.0;-0.3
15.02.2023;399.0;1769.0;2168.0;-0.5
16.02.2023;463.0;1912.0;2375.0;-0.7
17.02.2023;441.0;1550.0;1991.0;-1.3
18.02.2023;319.0;609.0;928.0;-3.7
19.02.2023;329.0;666.0;995.0;-5.4
20.02.2023;374.0;1651.0;2025.0;-7.2
21.02.2023;378.0;1697.0;2075.0;-10.2
22.02.2023;390.0;1685.0;2075.0;-16.3
23.02.2023;410.0;1669.0;2079.0;-10.8
24.02.2023;439.0;1498.0;1937.0;-3.6
25.02.2023;331.0;604.0;935.0;-5.6
26.02.2023;335.0;557.0;892.0;-8.3
27.02.2023;335.0;873.0;1208.0;-7.2
28.02.2023;358.0;992.0;1350.0;-0.2
01.03.2023;349.0;856.0;1205.0;-2.9
02.03.2023;353.0;891.0;1244.0;-0.4
03.03.2023;409.0;873.0;1282.0;-0.8
04.03.2023;356.0;573.0;929.0;-2.2
05.03.2023;427.0;659.0;1086.0;-3.5
06.03.2023;382.0;1731.0;2113.0;-6.9
07.03.2023;383.0;1772.0;2155.0;-12.0
08.03.2023;396.0;1809.0;2205.0;-8.0
09.03.2023;367.0;1642.0;2009.0;-10.3
10.03.2023;366.0;1472.0;1838.0;-9.3
11.03.2023;291.0;619.0;910.0;-8.8
12.03.2023;306.0;634.0;940.0;-6.0
13.03.2023;381.0;1713.0;2094.0;-5.2
14.03.2023;434.0;1844.0;2278.0;2.2
15.03.2023;437.0;1872.0;2309.0;1.5
16.03.2023;384.0;1985.0;2369.0;-2.3
17.03.2023;406.0;1843.0;2249.0;-3.2
18.03.2023;412.0;664.0;1076.0;2.5
19.03.2023;332.0;623.0;955.0;1.2
20.03.2023;416.0;1810.0;2226.0;0.9
21.03.2023;389.0;1795.0;2184.0;0.5
22.03.2023;408.0;1864.0;2272.0;-1.1
23.03.2023;483.0;1838.0;2321.0;4.0
24.03.2023;419.0;1658.0;2077.0;2.7
25.03.2023;376.0;736.0;1112.0;1.7
26.03.2023;402.0;717.0;1119.0;-2.9
27.03.2023;409.0;1740.0;2149.0;-3.5
28.03.2023;408.0;1737.0;2145.0;-2.1
29.03.2023;411.0;1830.0;2241.0;-4.5
30.03.2023;368.0;1660.0;2028.0;-6.6
31.03.2023;368.0;1515.0;1883.0;-5.5
01.04.2023;317.0;638.0;955.0;-4.3
02.04.2023;328.0;632.0;960.0;-2.6
03.04.2023;455.0;1756.0;2211.0;-2.5
04.04.2023;400.0;1742.0;2142.0;-2.7
05.04.2023;498.0;1920.0;2418.0;1.3
06.04.2023;428.0;1555.0;1983.0;2.5
07.04.2023;347.0;743.0;1090.0;3.3
08.04.2023;327.0;623.0;950.0;2.9
09.04.2023;425.0;628.0;1053.0;5.0
10.04.2023;341.0;715.0;1056.0;3.7
11.04.2023;403.0;1730.0;2133.0;5.4
12.04.2023;393.0;1868.0;2261.0;7.8
13.04.2023;433.0;1747.0;2180.0;2.7
14.04.2023;420.0;1631.0;2051.0;1.8
15.04.2023;326.0;576.0;902.0;2.6
16.04.2023;340.0;606.0;946.0;4.8
17.04.2023;422.0;1967.0;2389.0;4.8
18.04.2023;485.0;1794.0;2279.0;5.0
19.04.2023;465.0;1716.0;2181.0;5.8
20.04.2023;392.0;1847.0;2239.0;9.5
21.04.2023;386.0;1587.0;1973.0;9.8
22.04.2023;320.0;670.0;990.0;10.0
23.04.2023;353.0;593.0;946.0;8.5
24.04.2023;419.0;1731.0;2150.0;11.2
25.04.2023;405.0;1755.0;2160.0;11.9
26.04.2023;382.0;1932.0;2314.0;14.0
27.04.2023;395.0;1792.0;2187.0;7.0
28.04.2023;414.0;1595.0;2009.0;5.0
29.04.2023;332.0;609.0;941.0;3.6
30.04.2023;360.0;565.0;925.0;5.0
01.05.2023;355.0;702.0;1057.0;5.5
02.05.2023;425.0;1061.0;1486.0;6.5
03.05.2023;444.0;1222.0;1666.0;5.3
04.05.2023;351.0;1178.0;1529.0;1.2
05.05.2023;330.0;1028.0;1358.0;1.3
06.05.2023;314.0;588.0;902.0;3.7
07.05.2023;310.0;564.0;874.0;7.0
08.05.2023;347.0;1410.0;1757.0;7.9
09.05.2023;385.0;1294.0;1679.0;10.2
10.05.2023;344.0;1112.0;1456.0;10.9
11.05.2023;320.0;1217.0;1537.0;14.2
12.05.2023;305.0;992.0;1297.0;16.1
