Päivittäiset kulutukset (kWh) ja lämpötila:
Pvm;Yö;Päivä;Yhteensä;Lämpötila
01.01.2023;4145.0;7217.7;11362.7;0.2
02.01.2023;4616.9;12343.3;16960.2;-4.8
03.01.2023;4731.0;12746.4;17477.4;-4.9
04.01.2023;4912.3;12634.4;17546.7;-8.7
05.01.2023;5002.7;12649.3;17652.0;-11.1
06.01.2023;4968.6;10270.4;15239.0;-7.8
07.01.2023;4875.8;8288.7;13164.5;-10.4
08.01.2023;4753.7;8055.1;12808.8;-12.4
09.01.2023;5084.6;14009.5;19094.1;-9.7
10.01.2023;5151.6;14160.4;19312.0;-7.5
11.01.2023;5205.6;14687.8;19893.4;0.1
12.01.2023;5237.9;14462.6;19700.5;-1.4
13.01.2023;5191.7;14049.8;19241.5;-0.2
14.01.2023;4978.9;8828.3;13807.2;1.5
15.01.2023;4903.5;8422.7;13326.2;1.2
16.01.2023;5227.5;14894.8;20122.3;1.3
17.01.2023;5336.0;15041.8;20377.8;0.4
18.01.2023;5481.0;15330.0;20811.0;0.1
19.01.2023;5388.3;15175.9;20564.2;0.0
20.01.2023;5361.2;14517.3;19878.5;-1.4
21.01.2023;5007.5;8550.3;13557.8;-6.1
22.01.2023;4922.4;8442.2;13364.6;-6.1
23.01.2023;5282.1;15241.4;20523.5;-6.5
24.01.2023;5389.9;15418.7;20808.6;-1.6
25.01.2023;5440.7;15414.8;20855.5;0.9
26.01.2023;5446.1;15113.1;20559.2;1.2
27.01.2023;5464.3;14405.7;19870.0;-4.4
28.01.2023;4833.2;8759.4;13592.6;-3.2
29.01.2023;4942.5;8153.5;13096.0;-1.5
30.01.2023;5131.0;15192.8;20323.8;0.4
31.01.2023;5482.3;15662.8;21145.1;-2.1
01.02.2023;5321.9;15786.7;21108.6;-3.9
02.02.2023;5444.0;15454.5;20898.5;-4.3
03.02.2023;5284.7;14571.9;19856.6;-6.5
04.02.2023;5040.2;8782.3;13822.5;-6.9
05.02.2023;5076.9;8420.0;13496.9;-8.2
06.02.2023;5248.9;15066.9;20315.8;-2.7
07.02.2023;5299.8;15709.9;21009.7;-3.3
08.02.2023;5442.7;16487.4;21930.1;0.6
09.02.2023;5565.4;16327.8;21893.2;0.7
10.02.2023;5568.0;15184.5;20752.5;-1.0
11.02.2023;5375.3;9068.2;14443.5;-4.4
12.02.2023;5208.4;8786.9;13995.3;-4.7
13.02.2023;5583.5;15384.9;20968.4;1.4
14.02.2023;5631.0;15533.2;21164.2;-0.3
15.02.2023;5644.2;16582.3;22226.5;-0.5
16.02.2023;5555.2;15519.2;21074.4;-0.7
17.02.2023;5702.3;15050.0;20752.3;-1.3
18.02.2023;5264.5;9201.5;14466.0;-3.7
19.02.2023;5207.8;8712.4;13920.2;-5.4
20.02.2023;5475.5;15113.4;20588.9;-7.2
21.02.2023;5640.9;15633.3;21274.2;-10.2
22.02.2023;5561.3;14906.9;20468.2;-16.3
23.02.2023;5625.9;15190.3;20816.2;-10.8
24.02.2023;5521.9;14675.9;20197.8;-3.6
25.02.2023;5211.7;8800.3;14012.0;-5.6
26.02.2023;5180.1;8544.7;13724.8;-8.3
27.02.2023;5390.2;14245.4;19635.6;-7.2
28.02.2023;5603.4;14402.3;20005.7;-0.2
01.03.2023;5684.8;14563.9;20248.7;-2.9
02.03.2023;5394.7;14064.8;19459.5;-0.4
03.03.2023;5516.0;13596.1;19112.1;-0.8
04.03.2023;5308.2;8804.0;14112.2;-2.2
05.03.2023;5185.5;8676.3;13861.8;-3.5
06.03.2023;5417.8;14401.7;19819.5;-6.9
07.03.2023;5498.3;15108.3;20606.6;-12.0
08.03.2023;5452.7;15476.3;20929.0;-8.0
09.03.2023;5545.6;14839.2;20384.8;-10.3
10.03.2023;5571.6;14713.3;20284.9;-9.3
11.03.2023;5266.8;8856.1;14122.9;-8.8
12.03.2023;5218.4;8466.3;13684.7;-6.0
13.03.2023;5523.3;15288.8;20812.1;-5.2
14.03.2023;5673.5;15395.8;21069.3;2.2
15.03.2023;5675.9;15773.6;21449.5;1.5
16.03.2023;5740.7;15224.6;20965.3;-2.3
17.03.2023;5559.9;14701.8;20261.7;-3.2
18.03.2023;5268.2;8750.1;14018.3;2.5
19.03.2023;5350.4;8645.6;13996.0;1.2
20.03.2023;5541.8;14909.8;20451.6;0.9
21.03.2023;5662.5;14815.5;20478.0;0.5
22.03.2023;5765.0;15834.8;21599.8;-1.1
23.03.2023;5717.2;14967.6;20684.8;4.0
